side,delta,lambda_hat,uncensored,exposure_seconds,tick,sigma_price_per_sqrt_sec,sigma_ticks_per_sqrt_sec,window
ask,0,8.201402298487977,708,86.326700512,1e-05,0.00065041082397721,65.04108239772098,global
ask,1,6.057090462551275,523,86.34508651200001,1e-05,0.00065041082397721,65.04108239772098,global
ask,2,4.57400425296835,395,86.35759351200001,1e-05,0.00065041082397721,65.04108239772098,global
ask,3,4.249631333759293,367,86.360432512,1e-05,0.00065041082397721,65.04108239772098,global
ask,4,3.6125177556162393,312,86.36635751200001,1e-05,0.00065041082397721,65.04108239772098,global
ask,5,3.1260702625450043,270,86.370419512,1e-05,0.00065041082397721,65.04108239772098,global
ask,6,2.7438907745659606,237,86.373700512,1e-05,0.00065041082397721,65.04108239772098,global
bid,0,4.249619469723596,367,86.360673612,1e-05,0.00065041082397721,65.04108239772098,global
bid,1,3.126078474930795,270,86.37019261200001,1e-05,0.00065041082397721,65.04108239772098,global
bid,2,2.3733157726588385,205,86.37704361200001,1e-05,0.00065041082397721,65.04108239772098,global
bid,3,2.0838306401909303,180,86.379380612,1e-05,0.00065041082397721,65.04108239772098,global
bid,4,1.84067907112462,159,86.38116361200001,1e-05,0.00065041082397721,65.04108239772098,global
bid,5,1.5512201081405703,134,86.383614612,1e-05,0.00065041082397721,65.04108239772098,global
bid,6,1.377552145812276,119,86.38511461200001,1e-05,0.00065041082397721,65.04108239772098,global
